rowid,bank,service,summary
726,GXS,none,"Positive feedback"
727,GXS,app,"Buggy app, low interest rate"
728,GXS,banking,"Unable to log in"
729,GXS,app,"User found download frustrating"
730,GXS,app,"Easy and fast app use"
731,GXS,app,"Unable to open GXS app"
732,GXS,app,"Phone unavailable for use"
733,GXS,app,"Positive feedback"
734,GXS,app,"Easy loan, hassle-free payment"
735,GXS,bank,"Good digital savings account"
736,GXS,none,"Compliment on savings rate"
737,GXS,app,"Loving app experience"
738,GXS,app,"User finds app easy to use"
739,GXS,app,"App suddenly not working"
740,GXS,app,"Unsuccessful attempt"
741,GXS,app,"Unable to add feature after months"
742,GXS,banking,"Suspected scam"
743,GXS,banking,"Unable to log into GXS bank"
744,GXS,app,"Doubts about G&S bank integration"
745,GXS,app,"Asked to rate unprompted"
746,GXS,app,"Mentioned interest rates, not an issue"
747,GXS,app,"Outdated app request"
748,GXS,app,"Login fails with Sing Pass"
749,GXS,app,"Cannot set up account on Redmi 8T"
750,GXS,app,"Easy to use, clear info"
751,GXS,app,"Ease of use criticised, payment issues"
752,GXS,app,"Easy to use praise"
753,GXS,app,"Dumbest app, get own people"
754,GXS,banking,"Waiting since July to open account"
755,GXS,app,"Easy loan approval"
756,GXS,app,"User finds app hard to use"
757,GXS,bank,"Good interest rate praise"
758,GXS,app,"Compliment on efficiency"
759,GXS,app,"Easy to use app"
760,GXS,app,"User finds app difficult"
761,GXS,app,"Positive review"
762,GXS,banking,"Wants to transfer via bank account"
763,GXS,banking,"Dissatisfied with bank"
764,GXS,app,"User praises friendliness"
765,GXS,banking,"Displeased with bank interest rate"
766,GXS,banking,"Customer requesting higher interest rate"
767,GXS,app,"Misrepresentation of interest rates"
768,GXS,app,"Saving feature praised"
769,GXS,banking,"Account closed unexpectedly"
770,GXS,banking,"Faster loan process"
771,GXS,app,"App sucks"
772,GXS,app,"Unable to sign up, uninstall app"
773,GXS,app,"long log-in wait"
774,GXS,app,"Paynow qr issue"
775,GXS,banking,"Customer hoped to keep more money"
776,GXS,app,"Easy to use when needed"
777,GXS,banking,"Easy loan application, full amount given"
778,GXS,app,"Positive feedback"
779,GXS,app,"UI/UX praised"
780,GXS,app,"Good job comment"
781,GXS,app,"Compliments the app"
782,GXS,bank,"Many login attempts this year"
783,GXS,banking,"Can't save payments"
784,GXS,app,"Registration issue"
785,GXS,banking,"No debit card, lower interest"
786,GXS,app,"Login issue reported"
787,GXS,banking,"Late email response"
788,GXS,app,"Good savings idea, daily issue"
789,GXS,app,"Positive comment on app"
790,GXS,app,"Can't open GXS app"
791,GXS,app,"App keeps posting incorrect info"
792,GXS,app,"Unable to open app"
793,GXS,banking,"Unable to log into account since 7 Sept"
794,GXS,app,"Can't login to app"
795,GXS,app,"Error page issue"
796,GXS,app,"Unable to open the app"
797,GXS,app,"App won't open on certain devices"
798,GXS,banking,"False promise on interest rate change"
799,GXS,banking,"Login error"
800,GXS,app,"Unable to open app"
801,GXS,banking,"Unable to log in"
802,GXS,app,"Biometric authentication fails"
803,GXS,banking,"Sudden login failure"
804,GXS,app,"App won't open"
805,GXS,app,"Attempting to redo application, closed account"
806,GXS,banking,"Discovered reduction in services"
807,GXS,banking,"Rejection without explanation"
808,GXS,app,"Cannot log in, error message"
809,GXS,app,"Cannot open app"
810,GXS,app,"Zero chance of using"
811,GXS,app,"Failed installation"
812,GXS,app,"Unable to apply for loan"
813,GXS,banking,"Singaporean citizens only for loans"
814,GXS,app,"Unsatisfied with rates"
815,GXS,banking,"Request for lower interest rate change"
816,GXS,app,"Unable to open app"
817,GXS,app,"Bait and switch to standard chart"
818,GXS,app,"App error occurred"
819,GXS,app,"Sign up failure"
820,GXS,app,"Customer reports trolling behavior"
821,GXS,app,"Missing payee addition feature"
822,GXS,banking,"Deceiving public"
823,GXS,app,"Month-old app choice"
824,GXS,app,"Issue opening app"
825,GXS,banking,"Interest rate decrease"
826,GXS,banking,"2 week interest rate change"
827,GXS,banking,"Pending account issue"
828,GXS,app,"Easy setup"
829,GXS,app,"Trouble signing up"
830,GXS,app,"Positive feedback"
831,GXS,app,"Sees competition as positive"
832,GXS,app,"Incomplete details"
833,GXS,app,"Registration process not smooth"
834,GXS,app,"Unable to sign up"
835,GXS,app,"No SGQR support for payments"
836,GXS,app,"App keeps prompting user"
837,GXS,app,"App setup takes too long"
838,GXS,banking,"Cannot sign up for account"
839,GXS,banking,"Application rejection"
840,GXS,app,"Lousy application response"
841,GXS,signup,"Not transparent sign-up"
842,GXS,app,"All slots taken during sign up"
843,GXS,app,"Cannot open downloaded file"
844,GXS,app,"First screen issue"
845,GXS,app,"Unable to login or set up account"
846,GXS,app,"Wants to rate low"
847,GXS,app,"App outdated"
848,GXS,app,"Learning app navigation"
849,GXS,app,"App unclear, Singpass details missing"
850,GXS,app,"Buggy app, poor support"
851,GXS,app,"Positive: Setup, top up, pocket setup"
852,GXS,app,"Sign up failed with no reason"
853,GXS,app,"Scan QR feature malfunctioned"
854,GXS,app,"Sign up success but login issue"
855,GXS,app,"App error reported"
856,GXS,app,"Snappy, simple interface"
857,GXS,app,"Wants save payee feature"
858,GXS,app,"Easy to use, easy transfer"
859,GXS,app,"Easy registration"
860,GXS,app,"App can't auto start"
861,GXS,app,"Singpass screen freezes"
862,GXS,app,"Request for payee addition feature"
863,GXS,app,"Registration issue"
864,GXS,app,"App logs in forever"
865,GXS,app,"saw news about more slow updates"
866,GXS,app,"Positive comment"
867,GXS,app,"Cannot open downloaded app"
868,GXS,app,"Sign-up screen goes blank"
869,GXS,app,"Unable to sign up with Singpass"
870,GXS,app,"Time wasted downloading, repeated login issue"
871,GXS,app,"Freezes after login"
872,GXS,app,"Singpass approval issue"
873,GXS,app,"Needs better pull-down refresh"
874,GXS,app,"Easy-to-use app praise"
875,GXS,app,"App stalls at launch"
876,GXS,bank,"Received savings account email alert"
877,GXS,banking,"Multiple failed attempts"
878,GXS,app,"No web option, app required"
879,GXS,app,"Easy registration, clean UI"
880,GXS,app,"App downloads technical issues"
881,GXS,app,"Setup issue during account login"
882,GXS,app,"Crash on new account login"
883,GXS,app,"Singpass implementation issue"
884,GXS,banking,"Customer inquiring about loan approval process"
885,GXS,app,"Worst app experience, no resolution"
886,GXS,app,"App crashes frequently"
887,GXS,banking,"Request to delete personal data"
888,GXS,app,"Sleek, simple interface"
889,GXS,app,"Asked for info after sign up"
890,GXS,app,"Downloaded app few days ago"
891,GXS,app,"Misleading flexiloan ad"
892,GXS,app,"Can't load, prompted to set password"
893,GXS,app,"Easy to use compliment"
894,GXS,banking,"Applied for flexi loan"
895,Trust,none,"Positive feedback on trust"
896,Trust,banking,"Unable to process loan"
897,Trust,banking,"User can't adjust info credit"
898,Trust,none,"Good application, no issue mentioned"
899,Trust,app,"User praises best banking app"
900,Trust,,"Great trust bank app"
901,Trust,banking,"Compliments banking app"
902,Trust,app,"User praises bank app as useful"
903,Trust,app,"Compliments app as best and good"
904,Trust,app,"Useful banking app"
905,Trust,app,"Trustworthy app"
906,Trust,bank,"Digital bank backed by Trust"
907,Trust,banking,"Apology errors"
908,Trust,app,"User-friendly app praise"
909,Trust,banking,"Trust Bank iBanking enabled"
910,Trust,app,"Complimentary app review"
911,Trust,app,"Easy account application"
912,Trust,app,"Card unlock feature issue"
913,Trust,banking,"Can open online bank"
914,Trust,app,"Compliments safety"
915,Trust,app,"Positive feedback"
916,Trust,app,"Customer asking about Samsung Pay readiness"
917,Trust,app,"App not allowing user control over risk settings"
918,Trust,app,"User praises ease of use"
919,Trust,app,"User-friendly Trust Bank SG app"
920,Trust,banking,"Unable to add debit card"
921,Trust,app,"Customer praises loan speed"
922,Trust,banking,"Feels less safe with bank"
923,Trust,banking,"False transaction, unhelpful CS"
924,Trust,app,"App crashing frequently"
925,Trust,app,"Likes stampcard feature"
926,Trust,app,"App overwhelming"
927,Trust,new_user,"New user experience"
928,Trust,app,"App doesn't trust user"
929,Trust,banking,"Credit card issue warning"
930,Trust,app,"Unable to use without notifications"
931,Trust,app,"Cannot pay now"
932,Trust,app,"Positive: Easy access to savings features"
933,Trust,banking,"Overseas transaction unreliable"
934,Trust,banking,"Credit application issue"
935,Trust,none,"loving Trust Bank"
936,Trust,banking,"Bad customer care"
937,Trust,app,"Amazing UI/UX praise"
938,Trust,app,"Notifications needed for login"
939,Trust,app,"Received shopping discounts in app"
940,Trust,app,"Unclear usage instructions"
941,Trust,app,"Easy to use app"
942,Trust,none,"Compliments security"
943,Trust,app,"Positive feedback on app"
944,Trust,banking,"Cannot access singpass QR code"
945,Trust,app,"App crashing issue"
946,Trust,app,"Difficult to find important info"
947,Trust,app,"Forces relogin after updates"
948,Trust,banking,"Apologies for errors"
949,Trust,app,"Missing function"
950,Trust,none,"Positive comment"
951,Trust,app,"Easy-to-use app offers rewards"
952,Trust,bank,"Asked to go to branch after submitting docs"
953,Trust,app,"User found goof in the app"
954,Trust,banking,"Application scam suspected"
955,Trust,app,"In-app call to customer service"
956,Trust,app,"Easy to use app, no issues"
957,Trust,app,"Faster visa exchange rate access"
958,Trust,app,"Appreciative comment on design"
959,Trust,app,"Login failure"
960,Trust,app,"User expresses satisfaction with bank"
961,Trust,app,"App UI improved, no issue mentioned"
962,Trust,banking,"Unable to view statement"
963,Trust,app,"App alerts card issue"
964,Trust,app,"Requested support for Dashlane and Microsoft Authenticator"
965,Trust,app,"Scan-to-pay often unavailable"
966,Trust,app,"Transfer issue with App"
967,Trust,banking,"Can't transfer funds"
968,Trust,app,"Positive feedback"
969,Trust,app,"Cannot add card to Samsung Pay"
970,Trust,app,"App crashed during login"
971,Trust,banking,"Unhappy with trust app"
972,Trust,app,"App failed to open"
973,Trust,app,"Grudgingly downloaded"
974,Trust,app,"Appreciates cash back feature"
975,Trust,app,"Notification about deal"
976,Trust,app,"System improved, rewards suggested"
977,Trust,app,"Unable to download app"
978,Trust,app,"Used to sync with No..."
979,Trust,app,"App not recognizing trust"
980,Trust,app,"Request for whitelisting issue"
981,Trust,app,"Disagreement on purchase counting"
982,Trust,bank,"Flagged genuine transaction"
983,Trust,banking,"Money not sanctioned"
984,Trust,app,"Easy to use, good exchange rate"
985,Trust,app,"Irrelevant ads bother user"
986,Trust,bank,"Compares trust bank to others"
987,Trust,app,"Wasteful Trust bank SG app"
988,Trust,banking,"Good bank, processing issue"
989,Trust,banking,"app called fraudulent"
990,Trust,app,"App won't download"
991,Trust,app,"Dissatisfied user calls app dumb"
992,Trust,app,"Disappointed with app performance"
993,Trust,app,"One of the worst apps: many bugs"
994,Trust,app,"worst app experience"
995,Trust,app,"Asking for excessive security confirmation"
996,Trust,app,"App is slow, prone to crashes"
997,Trust,app,"Asks for transaction info often"
998,Trust,app,"Outdated, glitchy app"
999,Trust,app,"Worst app ever seen"
1000,Trust,app,"Worst app experience"
1001,Trust,app,"Disappointed with the app"
1002,Trust,app,"Don't trust: app annoying"
1003,Trust,app,"weird, unwanted app"
1004,Trust,app,"Worst app for money sharing"
1005,Trust,app,"Very bad application"
1006,Trust,app,"Very bad application"
1007,Trust,app,"Login issues persist"
1008,Trust,app,"Below average app theme"
1009,Trust,app,"worst app ever"
1010,Trust,app,"App performance issue"
1011,Trust,app,"Transaction handling issues"
1012,Trust,app,"Disliked app, seems bad"
1013,Trust,banking,"worst banking app"
1014,Trust,app,"Worst app ever"
1015,Trust,app,"App not functioning properly"
1016,Trust,app,"Buggy interface sends money"
1017,Trust,app,"User finds app bad"
1018,Trust,banking,"Bank involved in scandals"
1019,Trust,app,"App not long-term"
1020,Trust,app,"Worst certility app ever"
1021,Trust,app,"Excessive ads, poor experience"
1022,Trust,app,"Feels important for security"
1023,Trust,app,"Bad application, sad user"
1024,Trust,app,"App intermittently not working"
1025,Trust,app,"Useless, unresponsive app"
1026,Trust,app,"New UI causing lag"
1027,Trust,banking,"Good rewards program"
1028,Trust,app,"User finds app easy to use"
1029,Trust,app,"Asks for re-login repeatedly"
1030,Trust,app,"Useless for transaction inquiries"
1031,Trust,app,"Prompted to re-setup app"
1032,Trust,app,"Good, but customer service"
1033,Trust,app,"Logout issue"
1034,Trust,banking,"Complaint about fraudulent attempts"
1035,Trust,none,"Compliment for best banking app"
1036,Trust,app,"Customer suspects Norton security as malware"
1037,Trust,banking,"Trust key malfunction blocks fund transfer"
1038,Trust,app,"asked to reset password multiple times"
1039,Trust,app,"Request for full name on card print"
1040,Trust,app,"App not responding after login"
1041,Trust,banking,"Credit card application error"
1042,Trust,app,"App not responding prompted"
1043,Trust,app,"Pin update issue"
1044,Trust,app,"Unclear contact info"
1045,Trust,app,"App kept requesting relogin"
1046,Trust,app,"Working well now"
1047,Trust,app,"Dissatisfied with app"
1048,Trust,banking,"Missing redemption history"
1049,Trust,app,"Scan and pay frequently fails"
1050,Trust,banking,"poor customer care"
1051,Trust,banking,"Unable to log into bank since 3 days"
1052,Trust,app,"Redeem starting voucher issue"
1053,Trust,app,"Competitive exchange rate comparison desired"
1054,Trust,banking,"Disappointed with Trust bank's services"
1055,Trust,app,"Fingerprint login issue"
1056,Trust,banking,"Wants to transfer to Uob Bank"
1057,Trust,banking,"Promising TrustBank concerns"
1058,Trust,bank,"Warning: reported as scam"
1059,Trust,banking,"Helpful staff during issue"
1060,Trust,app,"Easy savings account opening"
1061,Trust,app,"Login deletion issue"
1062,Trust,app,"App crashes on Android"
1063,Trust,app,"Horrible app, loan ads issue"
1064,Trust,app,"Easy use, good value"
1065,Trust,app,"Transaction issue"
1066,Trust,app,"Asks for repeated logins"
1067,Trust,app,"Customer asking about account transfer"
1068,Trust,app,"Enjoyable app, no issues mentioned"
1069,Trust,app,"App forced re-setup TWIC"
1070,Trust,app,"Functional, good promos"
1071,Trust,banking,"Long transaction confirmation"
1072,Trust,app,"Positive feedback"
1073,Trust,banking,"Forgotten card change"
1074,Trust,app,"Cannot uninstall app"
1075,Trust,app,"User finds app convenient"
1076,Trust,app,"Called support asked to re-apply update"
1077,Trust,app,"App keeps crashing after login"
1078,Trust,app,"Easy application process"
1079,Trust,app,"Login issues"
1080,Trust,app,"Nice app"
1081,Trust,app,"App security concerns expressed"
1082,Trust,app,"Notifications needed for login"
1083,Trust,app,"App crashes repeatedly"
1084,Trust,app,"Many deals in app"
1085,Trust,none,"Positive comment about the bank"
1086,Trust,app,"App intermittently not working"
1087,Trust,app,"Praises UI"
1088,Trust,app,"App crashes frequently"
1089,Trust,app,"Cannot open app after update"
1090,Trust,app,"Customer seeking bill payment help"
1091,Trust,app,"App shows incorrect exchange rate"
1092,Trust,app,"Phone conflict with voice rec"
1093,Trust,app,"Buggy app requests relogin"
