"rowid","sentiment","service","recommendation","intent","review"
173,"Negative","Customer Service Experience","Investigate issue with customer service interaction","Issue","After locking my account for a paynow transfer to one of my friend, now my account is blocked and im unable to access my money. I called the customer service multiple times but all I received was ""On my end we're unable to do anything because we are the customer service side, we can't do anything other than raising the issue"" 
But even after raising the issue, it's been 2 weeks and still not resolved. I just got my account blocked instead. What a stupid bank this is"
174,"Negative","Credit Card Services","Investigate transaction issue","Issue","After signing up for their credit card I got stuck trying to log in. After their app update it works now. At least they’re responding!"
175,"Negative","Customer Service Experience","Investigate issue offer resolution","Issue","Had an issue with one of the promos provided by the Trust app and contacted the customer service via the in app chat to explain the scenario. Whilst the explanation provided was adequate the staff was extremely inattentive and hasty in wanting to end the conversation. She also went on to hint that I was lying about my issue when she herself failed to do her checks properly. Extremely sour experience from a usually great app experience. Hope this is worked upon."
176,"Negative","Credit Card Services","Investigate transaction issue","Issue","Lousy app! Stuck after singpass profile retrieval saying that something went wrong. You don't want new customers anymore, huh? Please don't reply with ""reinstall the app and call this number if the issue persists"". I've reinstalled it multiple times and it's the same. I'm not going to call cause it's just wasting my time. It's your problem, why should I care. Multiple people have been complaining the same issue from several weeks back and there's really no improvement. What a shame!"
177,"Neutral","Customer Service Experience","Investigate issue with customer service interaction","Issue","Hi is there a way we can change the account time to savings account from credit card and vice versa? My friend seemed to accidentally choose the wrong account type. Would be very grateful if we have the option to change?"
178,"Negative","Credit Card Services","Investigate transaction issue","Issue","It stopped me from continuing in the app after it declined me on my application. I did enquire on what happened but nothing has been said and the only answer is declined and its private. What is it that my information are private that I doesn’t understand. If I can go and rectify it, isn’t thats the best rather than kept telling me its private. 

This is not helping me at all. I am not here to create problem but I am here to look for help if my application has got something wrong."
179,"Negative","Customer Service Experience","Investigate and resolve issue promptly","Issue","Enhancement is required to further promote the use of the Trust debit/credit card for taking public transit (SimplyGo), the enhancement was: introducing the cash rebates initiative for SimplyGo public transport usage based on the spending tier of end of each month and giving the cashback on the next month, cashback given based on the usage on previous month"
180,"Negative","Credit Card Services","Investigate issue with credit card services","Issue","Trust Bank can’t be trusted. The app doesn’t work most of the times. Basically you need the physical card to scan for link points. Tried to give the savings account a go and transfer money into the savings to pay the credit card bill after pairing the account. Basically after having a few hundred of dollars into the savings, the transfers to pay the card all didn’t work. Contacting customer service via the app didn’t work as well. Probably gg to report police for scam."
181,"Negative","Customer Service Experience","Investigate issue with customer service interaction","Issue","When we were in MY, we used Trust for our major purchases as the exchange rate is almost on par with what we check on the website. Also the conversion is immediately reflected in the app and there is also notification on the spot. 👍🏻"
182,"Positive","Account Opening Experience","Acknowledge positive feedback","Opinion","Account opening process was unbelievably fast and smooth. The app is very well designed and I love the app UI and User experience elements. The app has all the functionalities you may want from a banking app (of course it’s a full digital bank). Kudos to the app development team!"
183,"Negative","Credit Card Application Process","Investigate application issue","Issue","I downloaded and deleted the app within 3 minutes because of extremely curt card application process. 

I was initially excited to apply for their credit card after my friend shared about it’s benefits when he used it overseas during a meetup.

I downloaded the app, provided my info via SingPass when applying for a credit card and was rejected within seconds. I spoke to a chat agent Zhi Ching who sent me a template reply (screenshot-ed it) that the reason why my application was rejected is confidential and to apply again in a few months. 

It was already suspicious how no clear guidelines for credit card application approval were listed, now there is no explanation why my application was rejected within seconds. My experience with this app was truly disappointing."
184,"Negative","Account Opening Experience","Investigate account opening issue","Issue","While I want to open account until my info, after I agree then always show me something wrong please try later, even I uninstall and install or open my phone still cannot, what the hell?"
185,"Negative","Account Opening Experience","Improve account opening process","Feedback","Application pending status for a long time. It’s been over an hour. I called customer service & was told they can’t do anything as it’s up to the internal team & that NORMAL approval process can take 3 mins up to 5 working days!!! There seems to be inconsistencies coz my friends said their application was approved immediately within minutes even when they applied it on a public holiday at night. I’m really disappointed. Don’t even feel like signing up now."
186,"Positive","App Performance","Investigate and resolve performance issue","Issue","Love the app, espcially due to it's convenient. I can track the point every day, with ocbc its always a surprise and it makes me spend more because I don't want to loose on bonuses. Will be good to show us the update in real-time and not few days later"
187,"Negative","App Performance","Investigate performance issues","Feedback","It is most annoying that one MUST switch on the notifications for this app. The amount of unnecessary adverts is frustrating and yet we are not allowed to switch off notifications. 
And the app is too slow. Takes too long to startup! Get rid of fancy app intro and let us enter the app more easily."
188,"Neutral","Credit Card Features","Investigate credit card feature issue","Issue","the card is informative . it provides info such as how much more to spend outside NTUC to qualify for the bonus .

it will be good if it can also prompt us expiring coupons 4-5 days before expiry so that we do not miss out the promotion or offer ."
189,"Negative","App Technical Issue","Investigate technical issue prioritize fix","Feedback","I tried opening the application on iPhone 14 Pro but its showing a message ""Sorry, something went wrong. Please try again later. Tried restarting my phone but problem is not solved. I am able to open it on my other phone but not on this new phone."
190,"Negative","Login Issue","Investigate login problem","Issue","They take 5 mins minimally each time for them to respond to each question or feedback I gave, and I got to ask if they are there in order to know they are still assisting me. But the best part is when they can’t address your issue, their best solution - ask you if there is anything else they can assist you with, and in a blink of any eye, the CS quickly end the chat without giving you a chance to respond. Amazingly amazed!"
191,"Negative","Login Issue","Investigate login issues improve user experience","Feedback","After i submit my info , i am stucked at the notification page and the app Trust is not on my notification center to on notification either. Please do something to fit it. Thank you"
192,"Negative","App Technical Issue","Investigate and resolve issue","Issue","I change to a new phone few days after i create an account in the apps. 
Try to use the new phone to login to the apps. There are only 1 option to login which is through Singpass but whenever i try, the app was showing “We are unable to log you in with Singpass right now. Please try again later”. However from the apps, this is the only way to login. Called customer service several time but no one answering the call."
193,"Negative","Credit Card Application Process","Investigate application issue","Issue","One of the benefits that digital banking supposed to give to it's users is to allow usage of financial services even out of Singapore. Traveling is back to norm and it's getting common, yet trust bank disallows users to apply a credit card when traveling out of Singapore. This made this digital bank worst off than traditional banks that allows users to have access to digital services when traveling out of Singapore."
194,"Negative","Credit Card Application Process","Investigate application process issue","Issue","While downloading, I pressed “No” for notifications n this App just hang asking me to enable but there is no way to do it as the picture of an ice cream man just stuck there. Cannot do anything. I try to down load app again. It is still the same. Pl advise."
195,"Negative","Savings Account Features","Review savings features feedback","Feedback","This is the worst app I’ve ever used. After my application was successful, I was prompted to login. My credentials were accepted but the app took forever to load and does not allow me to reach the landing page. Super bad experience"
196,"Negative","Credit Card Application Process","Investigate application delay","Issue","cos we dont have togo through the hassle of going to the bank etc. to make an acc and its really fast,still have to wait for the lhysical card but i like how my acc is activated literally after i created it,fast and efficient,but i do hope the physical c"
197,"Negative","Savings Account Features","Investigate issue with savings account features","Issue","Waste of time actually. Standard chartered. Horrible bank. Truly recommend all local banks instead. Or Citibank. And not many branches as well. Yeap and I agree with the pending verifications. Why do U need such a long time ?In any case, real happy that I have deleted the app and in fact, after taking personal details I feel paranoid actually. Do give u my personal information when your app has so many bad feedbacks. How did SingPass ever approved a nonsense app like this"
198,"Negative","Credit Card Payment Issue","Investigate credit card payment issue","Issue","Very stupid app. Approved on Friday 09/09. Can’t load since then after login. Delete and redownload again and again but still unable to load. Thereafter, can’t even go through after login via Singpass. ‘We are unable to log you in via Singpass right now. We are working on it, please try again later’ Trust but cannot be trusted. Waste time.

***updated 16/09***
Followed ur advise in the reply and able to login now. Still find it stupid though. Thanks for the response anyways"
199,"Negative","App Navigation","Improve App Navigation Based on User Feedback","Feedback","Still long time pending request as future dated schedule payment option -please consider as it helps to pre plan the payment -please consider as keep asking long time same request"
200,"Negative","Credit Card Payment Notification","Investigate payment notification error","Issue","Not sure if I am the only one. This is my second month with Trust. To date, I still haven’t got my Dec statement in any app. After speaking to customer service, still nothing is updated. And I was told my due date is 28 Dec. Pls keep data updated and this concerns dollars and cents. And being a digital bank, this is more so important cos users are dependent on the app."
201,"Negative","Account Opening Experience","Investigate account opening issue","Issue","The first month 7.5% rebate has been missing simply after a few days. There’s no clear indication that it’s by calendar month. Means if you sign up near the end of the month, u are out of luck. Due to heavy promotion activities there’s a lot of demand for this card. But I see long term risk with this bank as there’s no clear customer service, support or even a proper website with the bank. It’s all going through the phone app."
202,"Negative","App Technical Issue","Investigate and resolve technical issue","Issue","I have been using its credit card for a month and have been trying to pay the bill but to my horror, this app always stop me from adding its credit card account as payee. Kept saying my trust key is wrong and need to reset, then wait 12hrs per reset. When I tried to add payee on other banks’ app, they do not recognize trust bank. If the credit bill payment went overdue due to your lousy bank error, I will complain to CASE!"
203,"Negative","Login Issue","Investigate login issue","Issue","The moment I logged in, they ask me to create a credit card and when I cancelled it. The app takes forever to load when I logged in again to create a savings account. The app does nothing but just send dozens of emails and SMSes saying that I no longer can connect to the old device when it’s the same device. This isn’t possible cos I allowed the app to collect info and send me notifications all the time."
204,"Negative","App Technical Issue","Investigate app crash issue","Feedback","Good exchange rates. Simple app. 

However the in-app chat CS is downright pathetic. She can’t understand my question after repeating myself THREE times, copy and pastes answers like a bot, and cuts the conversation short even though she never answered my question and didn’t give me a chance to respond. Just pastes an answer then says “if that’s all, I’ll be ending this chat.” And proceeds to quit the chat in less than 2 seconds."
205,"Negative","App Technical Issue","Investigate and resolve issue","Feedback","I applied for the credit card on the 1st day and till date, still has not been approved with multiple calls to their support with no resolution and multiple uninstall/reinstallation of the app as advised by their support. Every time they promised that there will be someone calling me back to update the situation but it has never happened. I give up. The scam calls that I get have better response than this."
206,"Negative","Credit Card Application Process","Investigate application delay improve process","Issue","jus realised the mascots for each category vary in size depending on how much you spent, that’s so cute! since i’m using this card almost everyday all my expenses are recorded LOL saved the trouble of accounting in another app, great job on this!!"
207,"Negative","App Technical Issue","Investigate issue prioritize fix","Issue","Said to offer instant approval, it took 2 weeks to receive approval of savings account, after some irrelevant “verification”.

Wanted to move the sign-in of APP from iPad Air to my iPhone, was told by the in-APP team to delete my installation on iPad first which I did. Now I am locked out totally, even with the latest 1.0.7 update. 

Only mean to communicate with Trust Bank is via the help desk, which said will revert within 3 business days. Surely the bank can do much better?!"
208,"Negative","Credit Card Application Process","Review application process improvements","Feedback","Initially I thought the card would be useful for basically my shopping at NTUC. Soon I realised that there is a lot more to the card then just that. 
- convenience of card payment
- excellent vouchers and promotions
- no charge on forex transactions

I think the last point should be emphasised in marketing efforts as that is really a benefit especially for online bookings for holidays as well as use the same when on foreign trips. Even for children studying overseas this would be beneficial."
209,"Negative","Late Payment Notification","Investigate late notifications","Issue","Referred friends to sign up, was issued the $10 FairPrice voucher but when I wanted to redeem at FairPrice, was told that the voucher was already redeemed before. Approach their super slow, inefficient and ineffective CS chat team, was told they will get back to me, which they didn’t. Worst, they like to close the chat and mark it as resolved each time just to achieve their service levels. This bank is crap. I will stop recommending my friends."
210,"Negative","LinkPoints Redemption Process","Investigate redemption issue","Issue","I have a Trust saving account which is used to honour transactions purchased using Trust card. I noticed that all transactions tend to be in pending status and it took a couple of days for transactions to change to complete status. This issue need to be addressed by the developer as it derive user additional bonus interest. Transactions debited from saving should be complete status as funds already deducted from saving account."
211,"Negative","Login Issue","Investigate login issue improve user experience","Feedback","I have been paying my bills before the stated date, and suddenly i got slammed with interest fees?! And I wasn’t informed that i had interest fees pending until I accidentally went into the app to see one day and realised i owed them money. I asked the in app CS chat and was informed it was cos i made partial payment and interest cannot be waived. Is that how you make money? I am cancelling the card. If you guys want link points, you can just download the NTUC app to get it."
212,"Negative","Customer Service Experience","Review agent training","Feedback","Able to open bank account within a few minutes, however it is annoying that it send multiple notifications that you can’t disable, like a spam. That’s the only one feature keep annoying me every time I make a payment. Contacted support a few times but no positive reply, keep saying it’s a feature and nothing more can be done."
213,"Negative","Customer Service Experience","Review feedback with team improve communication","Feedback","Working in a bank and IT myself, I’ve never seen this so inefficient and so troublesome customer service. Chat starts for more than 2 mins, and if you’re already idle for more than a minute, customer service agent will end your convo. What is this?! My card has been blocked for 3 months and until now I don’t have any proper conversation nor resolution to my case. Wouldn’t recommend to my friends."
214,"Negative","Credit Card Application Process","Investigate application issue","Issue","Super fast, easy to use, attractive reward programs, will definitely recommend to everyone around me. One suggestion though, get the GIRO pay and allow me to do schedule payment"
215,"Negative","App Technical Issue","Investigate issue provide solution","Issue","I signed up because I thought it's free, got a credit card in 4 minute, love it! Getting good interest on savings but the $450 minimum spend criteria is not for me.. I wish I only used the savings account"
216,"Negative","App Technical Issue","Investigate and resolve the technical issue","Issue","The interface is super clean and a lot more straightforward compared to other banks. Would be great to support scan & pay so I don't need to switch to other banks"
217,"Negative","App Technical Issue","Investigate and resolve technical issue","Issue","One big flaw of Trust Bank app is the inability to automatically mark the voucher as “Redeemed” after using it. Users have to manually mark it as redeemed. This obviously raise possibility of human errors, and bringing inconvenience. 

Thousands of applications have successfully implemented this feature for the voucher to be automatically deleted from your account upon usage, but Trust Bank SG thought it was a good initiative to leave this out."
218,"Negative","Credit Card Application Process","Investigate application delay","Issue","Changed my phone 3 days ago.. multiple time trying to login TRUST app, but it’s not trust worthy.  Keep getting error message “ We are unable to log you in with
Singpass right now
We are working on it, please try again later.”, 

Call customer hotline after 3 days… but was told to wait 3 working for technical team to fix the issue?"
219,"Negative","Savings Account Features","Investigate and resolve issue with Savings Account Features","Issue","After logging in, my account is stuck on the loading page. 
Have tried restarting my phone, uninstalled and installed the app a few times, had to set new passcodes a each time.
Still can’t seem to get the app to work.

Can anyone help? Thanks"
220,"Negative","Credit Card Payment Issue","Investigate payment issue","Issue","Dear Trust team
,  Can you pls fix this issue? It happened many times!!! About cannot use Trust Key in the app. When I input a new password, its says “something went wrong”.. many times. Why are we allowed to only use Face ID? Pls look into it. Thanks a lot!"
221,"Negative","Login Issue","Investigate login issue urgently","Issue","Get their credit card first then the savings account. Works fine for me and I really like the coupons feature!"
222,"Negative","Customer Service Experience","Investigate and resolve issue promptly","Issue","Well I downloaded it after rave reviews..signup was easy with my info..I opted for CC and after getting my info the app just froze saying pending review and will know outcome in 3 days..I thought of opening savings acct too which I couldn’t..Not sure why everyone’s saying Instant and how great etc., At best I find it ok so far.."
223,"Negative","Credit Card Payment Issue","Investigate credit card payment glitches","Feedback","After I returned from overseas, I realised I cannot log into the app. Using SingPass also cannot, error message is just “We are unable to log you in with SingPass right now” “We are working on it, please try again later.” 

Where is the passcode login option? Why am I not able to login even though I’ve had an account since last year?"
224,"Negative","App Performance","Investigate app crash issue","Issue","Many friends had good experiences with this card and functions. I signed up during the recent promo and got my ntuc voucher. Easy to sign up and use. Happy to recommend to friends."
225,"Negative","Login Issue","Investigate login issue","Issue","Can’t open a credit card account if you open a savings account first. The other way seems to
work. Clean and nice interface otherwise."
226,"Negative","Account Opening Experience","Improve account opening process","Feedback","I find it difficulty in using your apps. Though I now supported your card and always pay with ur apps card , I find it is not very user friendly to the layman."
227,"Negative","Payment Functionality","Investigate payment bugs improve user interface","Feedback","Just got approved for the account & need to update my contact details. But somehow kicked out of the app & when tried to login again it said UNABLE TO LOG ME IN. 

What if i need urgent transaction. Not happy with it. Not reliable at all."
228,"Negative","Notification Settings","Investigate notifications issue","Issue","This digital bank Trust rewards come with all sort of fine prints that’s misleading. e.g., redemption of coffee / tea at kopitiam is only applicable to some outlets. And the saving interest rate of this digital bank also filled with fine prints, making life difficult for customers having to perform activities for the bonus interest. There’s better digital banks out there, google for it and avoid this one for sure!"
229,"Negative","Overall App Experience","Investigate and resolve identified issue","Issue","While I appreciate the effort to make the design fresh and modern, I find it difficult to navigate the app. I often get lost when trying to find coupons for FairPrice or checking my latest transactions. Tapping something brings you somewhere you dont know, and feels like the only way to get there is to tap Home and retrace your step. What more if I have to do a qr payment?"
230,"Negative","Account Opening Process","Investigate account opening issue","Issue","I had downloaded this app about 3 months ago. It seem to work fine, for pass 3 months ago. By recognise via face unlocked, each time I try to check transaction on my mobile. 
Recently I realised the face recognise. Doesn’t work anymore! Which I had to input password each time. I had check my setting on my mobile Face ID recognise are switch on. Please fix this errors."
231,"Negative","Technical Issue","Investigate technical issue promptly","Issue","After linking my singpass to register and clicking ‘I Agree’ there’s a pop-up says something went wrong. please try again later."
232,"Negative","Customer Service Experience","Investigate issue with customer service interaction","Issue","Received email saying I am in after long application pending for credit card. But it says I am not on when I try to login. Called customer service, no help."
233,"Negative","Account Opening Experience","Improve application process","Feedback","The app’s navigation was confusing at first but I appreciate seeing the Rewards up front instead of having to hunt for it like other banks app do."
234,"Negative","Credit Card Application Process","Investigate application delay issues","Issue","The payment notification approval does not say anything about what to approve what amount which merchant...a very dangerous feature...especially with card hijacking."
235,"Negative","Savings Account Features","Investigate account issue offer resolution","Issue","I helped my mom get their savings account. Seems decent for seniors. Even their debit card can get linkpoints. Good enough la since i don’t shop at ntuc that often. Something better than nothing."
236,"Negative","Technical Issue","Investigate issue provide solution","Feedback","App doesnt work and credit card isnt instant approval and it causes other apps to have issues. App probably got bugs. Also; your singpass may be affected, well at least mine did. Download at your own risk.

Update: So my singpass did get affected and its due to bugs from this app. Its also constantly retrieving your details and messes up your details and information. High risk and im never trusting this UNTRUSTED App or bank again."
237,"Negative","Savings Account Features","Investigate issue with Savings Account Features","Issue","I can’t seem to add credit card after I open a savings account. Online chat or call got no response either."
238,"Negative","App Performance","Investigate performance issues improve app speed.","Feedback","It’s easy to get slapped with a late payment charge. Funny thing is the app notification tells you are have been slapped with a penalty but doesn’t remind you to make payment. What’s more they only waive the penalty for one time..2nd time and there’s no more waiver. A $100 slapped for a $14 spend on the card. Ridiculous. Effinn ridiculous. That’s how this ‘bank’ makes money by low infrastructure cost and inflexible policies"
239,"Negative","Payment Functionality","Investigate payment issue","Issue","There are still some kinks to iron out with the linkpoints process in store especially since I’m only using the digital card. But app wise it’s user friendly."
240,"Negative","App Navigation","Investigate navigation issue","Issue","Cannot seem to login to the app. It just keeps loading and loading and loading after i entered my details. Tried so many times but there is no other ways to get help because firstly, to get help you need to be ""inside"" the app to chat with their support but how am i even be able to be ""inside"" their app to get help about a login problem?"
241,"Negative","Login Issue","Investigate login issue","Issue","You’re better off using the services of other banks. Seems like the entire venture was suddenly thrown at personnel members so they were not at all prepared nor willing to help with the difficulties you encountered. No point going to their parent bank either for help. Tried to give it a chance even after reading the negative reviews but the reviews were not proven otherwise."
242,"Negative","Account Opening Experience","Investigate account opening issue","Issue","call wait for 2 hrs on hold no one pick up, chat leave a message 2-3 hours later reply within few mins no response everything ended as if as nothing happened??? transaction took times to load and reflected so slow compared to my other bank card this Bank os open to scam and delay your payment STAY AWAY! No one will help you on this as you cant get hold of anyone!"
243,"Negative","Credit Card Application Process","Review application process improvements","Feedback","I can’t believe that this basic function to pay Trust credit card by selecting the card to pay is unavailable.
I have to create payee just like this card is a different bank. Now the transaction is stuck, the app is showing blinking Trust logo for over 10 mins."
244,"Negative","App Performance","Investigate app lag issue","Issue","My credit card and saving account are available in 3 minutes! can’t wait to use it to get my NTUC linkpoints!"
245,"Negative","Account Opening Experience","Improve onboarding process","Feedback","Paynow without scan and pay function kind of useless. Please do something about it 🤦🏻‍♂️"
246,"Negative","App Technical Issue","Investigate app issue and provide solution","Issue","This app forces you to turn notifications for transactions and rewards which im totally fine with it. However, their definition of rewards includes promotion notifications which is extremely annoying."
247,"Negative","App Technical Issue","Investigate and resolve technical issue","Issue","The app is amazing! The products and services offered are great and to open an account in a couple of minutes. It’s a far cry from standing in the queue at an actual bank! Awesome app Trust Bank!"
248,"Negative","App Technical Issue","Investigate issue prioritize fix","Issue","I was given credit or savings account to choose.

I chose savings and my friend chose credit.

My friend who chose credit card can then apply for savings at more info.

For me who chose savings account first cannot apply for credit card at more info.

It says credit card is launching soon. But my friend already got the credit card.

For savings accounts. I think it needs to give proper instruction to how to top up or transfer money into it e.g bank transfer etc."
249,"Negative","Credit Card Application Process","Investigate application delay issues","Issue","Just migrated to new iPhone, and it shows error not working. And a blank white screen.

I am satisfied with the quality until this."
250,"Negative","App Technical Issue","Investigate and resolve technical issue","Feedback","Thanks for the copy feature for the card number, makes it easier since I just learnt that your physical card is numberless."
251,"Neutral","App Login Issue","Investigate login issues","Issue","Like the app but I'm having issues with login recently, sometimes it doesn't work and during lunch hours it's a bit slow"
252,"Negative","Technical Issue","Investigate issue provide solution","Issue","Hi, I’ve just successfully signed up for the card but I can’t seems to login, when login time it’s still loading for quite some time. Please help to resolve the issue, I’m using iPhone. Thanks"
253,"Negative","Notification Functionality","Investigate and resolve notification issues","Issue","After tapping on notification cards triggered by Trust app, it merely launches the app and displays landing page; it should show the notification that user tapped on. Failed user experience!"
254,"Positive","Rewards Program","Thank user for feedback consider enhancing rewards program","Feedback","There are many different vouchers available and so far Trust app has been good! Easy to use, sleek design. Thank you!"
255,"Positive","Account Opening Experience","Thank user for feedback improve onboarding process","Feedback","3 min to set up account. Credit card linked to apple pay. 

This should be the way banks should work!"
256,"Positive","Security Measures","Thank user for feedback consider enhancing security features","Feedback","I have been union member for more than 5 years and this is first time I feel that I'm getting rewarded.. Premium experience, good base interest and good savings at fairprice.. What more do you need, good job!"
257,"Negative","Rewards Program","Investigate rewards program glitch","Issue","You should not trigger your security system to block a login attempt immediately when on a second device. Instead security measures should be in place to ensure the person logging in is legit. I’m changing to a new device and now both devices are locked out and I have to wait for your team to get back to me. How absurd this is."
258,"Positive","Login Issue","Investigate login issue prioritize fix","Issue","The app has a good design and the savings account offering is simple. 1% doing nothing is already higher than most others out there."
259,"Positive","Account Security","Acknowledge appreciation request more feedback","Feedback","Super quick and pleasant sign up, really loved the little animations. Best of all, I don’t have to do a lot stuff to get 1.2% interest on my money. Yay thanks for the Viu coupon!"
260,"Negative","Technical Issue","Investigate technical issue promptly","Issue","Awesome debit card ever especially those coupons and link points really save using trust card"
261,"Negative","Savings Account Features","Investigate issue with savings account features","Issue","Just changed to a new phone and I lost access to the app. I am unable to login from SingPass. Already called twice to customer helpline and both times I’m told that they will reset for me. However, both times fail for me and I’m still unable to access the app. Need help please."
262,"Positive","Customer Service Experience","Follow up with customer resolve issue promptly","Issue","Have difficulty using my other accounts (such as Citibank) to pay off the card bill. No trust bank selection"
263,"Negative","Rewards Program","Investigate rewards program issues","Feedback","The interface is easy to use and navigate. Application process was a breeze and approved immediately."
264,"Negative","Rewards Program","Investigate reward program issues","Feedback","Was having some issues w the TRUST app and decided to connect with TRUST via FB. 
The person who assisted me was v patient and knowledgeable in helping me to resolve my issues. Thanks!!"
265,"Neutral","Account Opening Experience","Request more details on user experience improvements","Feedback","Banking with rewards is what everyone should do but others bank hide the rewards.. I'm waiting for more deals like burger king"
266,"Neutral","Payment Functionality","Investigate payment glitch","Issue","Saw their ad on the FP app promoting Trust. Installed and applied for the credit card and got it in a few minutes. I added the card back into the FP app and woohoo, really seamless."
267,"Neutral","App Performance","Investigate app lag issue","Issue","Such a great app, short and sweet. Show only what you need to see and not like SCB that bombord you with full page ads everytime you open the app"
268,"Negative","Rewards Program","Investigate reward points issue","Issue","The app pushes ads to you even if you opt out of them in the app settings. Disabling app notifications entirely is also not allowed. Doesn’t exactly inspire trust, does it?"
269,"Neutral","App Functionality","Investigate functionality issue","Issue","申請了一個月多也在审核之中，想說的是我人品不好？还是運氣差？我有几個朋友，有的是成功，有的是审核失敗，我是进退两难"
270,"Negative","Technical Issue","Investigate and resolve issue","Issue","From account opening, to making my 1st transaction on my card via apple pay in 5 minutes flat…. Bang!"
271,"Neutral","Rewards Program","Investigate rewards program issue","Issue","Just got their savings account, it’s quite basic but UI is nice. Would be nice to be able to segregrate my money like ocbc’s goals."
272,"Neutral","App Performance","Investigate app lag issue","Issue","App keep sending wrong dated transactions. It’s really tiring to have card usage messages at midnight or Sunday when you don’t use your card and value appear on wrong day. I contacted customer service and they said this value spend 3 days ago. Place put  transaction on correct date. Soon I will stop using this bank"
273,"Positive","Account Opening Experience","Acknowledge and thank for feedback","Feedback","Last night I was at an NTUC cashier, the NTUC e-voucher just wouldn't show up.
This morning I checked again, it's still here. 
Can't really trust electronic vouchers completely."
274,"Negative","App Performance","Investigate app crashes improve performance","Issue","Because the app is well developed, and everything seems new. I personally trust this app and will recommend it to friends"
275,"Neutral","Technical Issue","Investigate issue prioritize fix","Issue","The service is too bad. It's a waste of my time. I applied for more than a week. After waiting for so long, he told me to delete the software. I will apply after two weeks, and then I have to wait again. 
If you can't pass at the beginning, reply immediately. I'm not so angry. It's a waste of time to wait so long to notify you."
276,"Negative","Technical Issue","Investigate technical issue urgently","Issue","It will be good if you can learn from Revolut. Eg, have a ‘vault’ that we can save up spare change n earn interest whenever we buy something. Or enable us to do some investment saving on regular basis."
277,"Neutral","Customer Service Experience","Investigate issue maintain status quo","Issue","I like the discounts, vouchers and transactions that are made so convenient for members to handle whether it is for credit card or bank transaction. 👍🏼"
278,"Positive","Rewards Program","Investigate and resolve rewards program issue","Issue","Everytime open the app I’m prompted to create login passcode ?! 
And the app doesn’t open my account 
It kept launching"
279,"Neutral","Technical Issue","Investigate issue provide solution","Issue","Overall usage is good, seamless and hasslefree. Only downside is the app doesnt load and it gets stuck on the trust logo. Had to close the app and repeat several times for it to load. Pls fix this issue."
280,"Negative","Account Opening Experience","Investigate account opening process issues","Feedback","I applied for the card and got instant approval. You gave me higher limit and could not change limit in app. So I cancelled card to reapply with lower limit. Now it won’t let me log on into app and it just shows me logo with loading. Tried calling hotline for hours on multiple location with no luck."
281,"Neutral","Savings Account Features","Investigate issue with Savings Account Features","Issue","What’s the point of the notification counter when there is nothing to see when I go into the App? Just frustrate the user to log in and cannot find what the App is trying to notify me on. Please remove the counter or follow other App to have a dedicated place to check all the notifications. Very very frustrating…"
282,"Negative","App Functionality","Review app functionality feedback with development team","Feedback","The app asked to set up two factor authentication. But after the pin is entered, it says something went wrong. The app hasn’t been working for me for the past 3 days despite deleting and re downloading the app. Now I can’t even login because “something went wrong. We’re working on it, please try again later. “"
283,"Neutral","Technical Issue","Investigate issue prioritize fix","Issue","Hi there , is it possible to auto change the status of the redeemed coupons ?? Currently have to manually change the status of the coupons used."
284,"Negative","Rewards Program","Investigate and resolve rewards program issue","Issue","Trust is literally 50-50 a scam. I have deposited money into the account and redrew money as well and soon later my whole account was locked. When called customer support I was told I’m being suspected for illegal activities! Please think twice about using trust. Really don’t waste your time or lose your money with them."
285,"Neutral","Customer Service Experience","Review case offer solution","Issue","So far is been good to me, using it is very problem free. Just that sometimes will face some small issue. Hopefully you guys have PayNow in QR side in the future. It will be more easier to use."
286,"Neutral","Technical Issue","Investigate issue provide update","Issue","After downloading the app, wanted to set up the account, both options of “referral”and “sign-up” were unable to proceed. Pop up box that says system maintenance on 30 Oct 12am-5am is ongoing. It is 5 Nov already.  We are still not able to sign-up on the app.  Surely maintenance would have been completed by now??"
287,"Negative","Rewards Program","Investigate rewards glitch","Issue","I love how simple the app is. If Trust brings in more and relevant partners for good discounts I will definitely continue using this. Will recommend to friends and colleagues."
288,"Negative","Rewards Program","Investigate and resolve rewards program issue","Issue","Thumbs up for the onboarding process. Smooth and Seamless. Card can directly use. Rewards get updated. All in real time. Impressive! This is the true digital apps!"
289,"Negative","App Functionality","Investigate app issue prioritize fix","Issue","Redeemed my rice coupon at NTUC. Initially the cashier was hesitant however tried to scan the barcode and it worked. Trust, please train the NTUC staff more, but hey managed to get the rice in the end."
290,"Negative","App Performance","Investigate performance issues","Feedback","Onboarded really quickly and like that the interface is light and not too corporate"
291,"Negative","Technical Issue","Investigate issue prioritize fix.","Issue","I would love to give 5 stars however they are still rooms for improvement.
Firstly, I got notifications, but when I open the app, I don’t know which are the notifications, kind of stupid.
secondly, very limited services."
292,"Negative","Rewards Program","Investigate reward point discrepancy","Issue","Beware of late fee trap, easily costing you $100 without Giro payment option. Warning!!!!!!

The CS are so rigid and robotic. The only thing they were helpful with was telling me how to cancel the card: 1. Hit the profile icon at the top right corner 2. Select “Settings” 3. Select “Close credit card” 4. Select “Next” 5. Select “Next” 6. Select “Next” & Reasons 7. Hit “Confirm” 8. Completion"
